,decimalLatitude,decimalLongitude,month,class,diversity,CHL,NPP,CO2,nitrate,PAR,phosphate,salinity,silicate,T,times,rate
1,-38.5,144.5,1,southw,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,21.5,-158.5,1,re,40,0.0739,234.4503974,378.1366882,0.05321,37.74085979,0.14502,35.18939209,1.41606,24.47924232,67,1.675
3,21.5,-157.5,1,re,119,0.1014,281.5195178,385.6355286,0.14312,35.50308191,0.15779,35.17705154,1.31329,24.33876228,672,5.647058824
4,37.5,-118.5,1,northw,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,17.5,-76.5,1,re,24,0.139,278.3238877,391.6162415,0.58198,32.7185163,0.15823,36.07853317,2.1491,27.06755447,44,1.833333333
6,18.5,-76.5,1,re,30,0.105,261.6208953,384.2805176,0.61479,32.75711303,0.15196,36.00265503,1.59297,26.6829052,54,1.8
7,32.5,-64.5,1,northw,96,0.1716,386.7421017,354.2200012,0.49234,20.0677027,0.18353,36.92053604,0.77256,21.03370667,322,3.354166667
8,50.5,-3.5,1,northw,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,52.5,-1.5,1,northw,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,54.5,-2.5,1,northw,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,54.5,7.5,1,northw,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,58.5,17.5,1,northw,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,64.5,-161.5,1,northw,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,64.5,-152.5,1,northw,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,64.5,-162.5,1,northw,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,15.5,101.5,2,re,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,55.5,12.5,2,northw,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,18.5,-76.5,3,re,25,0.0821,227.9117157,392.6889648,0.84778,47.75547832,0.07403,36.21366882,2.01861,26.75639915,61,2.44
19,42.5,-71.5,3,northw,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,50.5,-3.5,3,northw,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,52.5,-1.5,3,northw,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,-33.5,151.5,4,southw,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,33.5,-118.5,4,northw,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,41.5,-71.5,4,northw,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,42.5,-70.5,4,northw,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,55.5,-5.5,4,northw,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,21.5,-157.5,5,re,112,0.0689,246.3677434,393.8026733,0.04111,48.3450562,0.160555,34.79909897,1.88199,25.1630249,435,3.883928571
